CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup4,ProdGrp1,OpJourneys on selDates,OpMiles on selDates,
2016,2016/P01,2016/W01,East Suburban,Commuter,"68,625","1,163,739",
2016,2016/P01,2016/W01,eXpress,Commuter,"33,695","953,075",
2016,2016/P01,2016/W01,Inter7City,Commuter,"27,651","757,075",
2016,2016/P01,2016/W01,Scenic,Commuter,"9,806","180,878",
2016,2016/P01,2016/W01,West Suburban,Commuter,"302,609","3,303,754",
2016,2016/P01,2016/W01,East Suburban,Off-Peak,"74,740","1,464,582",
2016,2016/P01,2016/W01,eXpress,Off-Peak,"58,339","2,106,817",
2016,2016/P01,2016/W01,Inter7City,Off-Peak,"89,763","6,131,890",
2016,2016/P01,2016/W01,Scenic,Off-Peak,"31,772","1,233,731",
2016,2016/P01,2016/W01,West Suburban,Off-Peak,"547,271","5,679,787",
2016,2016/P01,2016/W01,East Suburban,Peak,"56,955","1,055,312",
2016,2016/P01,2016/W01,eXpress,Peak,"26,137","884,161",
2016,2016/P01,2016/W01,Inter7City,Peak,"48,235","2,388,334",
2016,2016/P01,2016/W01,Scenic,Peak,"19,186","609,508",
2016,2016/P01,2016/W01,West Suburban,Peak,"256,059","3,079,538",
2016,2016/P01,2016/W02,East Suburban,Commuter,"72,379","1,237,874",
2016,2016/P01,2016/W02,eXpress,Commuter,"35,804","1,024,029",
2016,2016/P01,2016/W02,Inter7City,Commuter,"31,897","868,518",
2016,2016/P01,2016/W02,Scenic,Commuter,"10,528","192,043",
2016,2016/P01,2016/W02,West Suburban,Commuter,"334,519","3,670,410",
2016,2016/P01,2016/W02,East Suburban,Off-Peak,"54,532","1,046,590",
2016,2016/P01,2016/W02,eXpress,Off-Peak,"47,149","1,775,868",
2016,2016/P01,2016/W02,Inter7City,Off-Peak,"82,349","6,103,115",
2016,2016/P01,2016/W02,Scenic,Off-Peak,"25,198","1,088,332",
2016,2016/P01,2016/W02,West Suburban,Off-Peak,"435,539","4,346,720",
2016,2016/P01,2016/W02,East Suburban,Peak,"62,457","1,169,148",
2016,2016/P01,2016/W02,eXpress,Peak,"33,568","1,204,589",
2016,2016/P01,2016/W02,Inter7City,Peak,"57,276","2,916,975",
2016,2016/P01,2016/W02,Scenic,Peak,"18,903","549,185",
2016,2016/P01,2016/W02,West Suburban,Peak,"278,986","3,305,815",
2016,2016/P01,2016/W03,East Suburban,Commuter,"74,469","1,262,312",
2016,2016/P01,2016/W03,eXpress,Commuter,"38,430","1,110,688",
2016,2016/P01,2016/W03,Inter7City,Commuter,"32,445","885,450",
2016,2016/P01,2016/W03,Scenic,Commuter,"10,859","204,388",
2016,2016/P01,2016/W03,West Suburban,Commuter,"347,892","3,832,872",
2016,2016/P01,2016/W03,East Suburban,Off-Peak,"59,399","1,141,921",
2016,2016/P01,2016/W03,eXpress,Off-Peak,"52,140","1,978,009",
2016,2016/P01,2016/W03,Inter7City,Off-Peak,"86,274","6,248,776",
2016,2016/P01,2016/W03,Scenic,Off-Peak,"26,818","1,133,242",
2016,2016/P01,2016/W03,West Suburban,Off-Peak,"458,241","4,614,163",
2016,2016/P01,2016/W03,East Suburban,Peak,"65,549","1,218,301",
2016,2016/P01,2016/W03,eXpress,Peak,"35,920","1,296,915",
2016,2016/P01,2016/W03,Inter7City,Peak,"59,328","3,068,442",
2016,2016/P01,2016/W03,Scenic,Peak,"19,853","577,642",
2016,2016/P01,2016/W03,West Suburban,Peak,"282,047","3,379,402",
2016,2016/P01,2016/W04,East Suburban,Commuter,"74,845","1,272,470",
2016,2016/P01,2016/W04,eXpress,Commuter,"35,167","985,445",
2016,2016/P01,2016/W04,Inter7City,Commuter,"32,258","874,274",
2016,2016/P01,2016/W04,Scenic,Commuter,"10,805","202,278",
2016,2016/P01,2016/W04,West Suburban,Commuter,"354,811","3,918,631",
2016,2016/P01,2016/W04,East Suburban,Off-Peak,"58,294","1,121,373",
2016,2016/P01,2016/W04,eXpress,Off-Peak,"53,529","2,042,722",
2016,2016/P01,2016/W04,Inter7City,Off-Peak,"86,693","6,161,970",
2016,2016/P01,2016/W04,Scenic,Off-Peak,"25,646","1,079,926",
2016,2016/P01,2016/W04,West Suburban,Off-Peak,"441,270","4,409,612",
2016,2016/P01,2016/W04,East Suburban,Peak,"66,302","1,219,620",
2016,2016/P01,2016/W04,eXpress,Peak,"34,687","1,261,783",
2016,2016/P01,2016/W04,Inter7City,Peak,"61,109","3,114,318",
2016,2016/P01,2016/W04,Scenic,Peak,"18,362","531,725",
2016,2016/P01,2016/W04,West Suburban,Peak,"275,378","3,304,293",
2016,2016/P01,2016/W05,East Suburban,Commuter,"76,270","1,302,256",
2016,2016/P01,2016/W05,eXpress,Commuter,"38,625","1,107,758",
2016,2016/P01,2016/W05,Inter7City,Commuter,"33,035","896,615",
2016,2016/P01,2016/W05,Scenic,Commuter,"11,304","210,840",
2016,2016/P01,2016/W05,West Suburban,Commuter,"366,207","4,041,586",
2016,2016/P01,2016/W05,East Suburban,Off-Peak,"69,078","1,393,661",
2016,2016/P01,2016/W05,eXpress,Off-Peak,"61,971","2,359,877",
2016,2016/P01,2016/W05,Inter7City,Off-Peak,"93,146","6,528,265",
2016,2016/P01,2016/W05,Scenic,Off-Peak,"29,582","1,200,423",
2016,2016/P01,2016/W05,West Suburban,Off-Peak,"492,645","5,043,261",
2016,2016/P01,2016/W05,East Suburban,Peak,"68,491","1,261,565",
2016,2016/P01,2016/W05,eXpress,Peak,"36,249","1,297,353",
2016,2016/P01,2016/W05,Inter7City,Peak,"62,030","3,214,048",
2016,2016/P01,2016/W05,Scenic,Peak,"20,240","582,070",
2016,2016/P01,2016/W05,West Suburban,Peak,"287,647","3,457,257",
2016,2016/P02,2016/W06,East Suburban,Commuter,"71,705","1,214,743",
2016,2016/P02,2016/W06,eXpress,Commuter,"38,081","1,126,188",
2016,2016/P02,2016/W06,Inter7City,Commuter,"30,617","832,110",
2016,2016/P02,2016/W06,Scenic,Commuter,"11,122","208,082",
2016,2016/P02,2016/W06,West Suburban,Commuter,"350,855","3,853,527",
2016,2016/P02,2016/W06,East Suburban,Off-Peak,"71,112","1,398,629",
2016,2016/P02,2016/W06,eXpress,Off-Peak,"57,736","2,156,559",
2016,2016/P02,2016/W06,Inter7City,Off-Peak,"93,477","6,417,228",
2016,2016/P02,2016/W06,Scenic,Off-Peak,"30,326","1,291,974",
2016,2016/P02,2016/W06,West Suburban,Off-Peak,"496,890","5,113,383",
2016,2016/P02,2016/W06,East Suburban,Peak,"66,764","1,247,067",
2016,2016/P02,2016/W06,eXpress,Peak,"35,547","1,265,669",
2016,2016/P02,2016/W06,Inter7City,Peak,"61,625","3,185,562",
2016,2016/P02,2016/W06,Scenic,Peak,"20,883","628,714",
2016,2016/P02,2016/W06,West Suburban,Peak,"284,387","3,418,665",
2016,2016/P02,2016/W07,East Suburban,Commuter,"68,437","1,170,769",
2016,2016/P02,2016/W07,eXpress,Commuter,"34,835","985,644",
2016,2016/P02,2016/W07,Inter7City,Commuter,"30,913","843,077",
